Date,Twitter Account,Total Tweets,Average Positive Score,Average Negative Score,Average Neutral Score,Total Retweets,Total Likes,Company Name
2017-10-29,@sundarpichai,1,0.108,0.081,0.811,16300,43333,Google LLC
2017-11-01,@sundarpichai,1,0.115,0.255,0.63,323,2837,Google LLC
2017-11-03,@sundarpichai,2,0.28049999999999997,0.0525,0.6675,456,5320,Google LLC
2017-11-10,@sundarpichai,1,0.313,0.0,0.687,8,230,Google LLC
2017-11-11,@sundarpichai,1,0.302,0.0,0.698,109,1208,Google LLC
2017-12-04,@sundarpichai,1,0.326,0.0,0.674,89,0,Google LLC
2017-12-05,@sundarpichai,1,0.103,0.0,0.897,1173,4174,Google LLC
2017-12-06,@sundarpichai,1,0.065,0.08,0.854,261,2566,Google LLC
2017-12-07,@sundarpichai,2,0.4795,0.0,0.5205,143,1336,Google LLC
2017-12-08,@sundarpichai,1,0.111,0.0,0.889,219,0,Google LLC
2017-12-13,@sundarpichai,3,0.14966666666666667,0.0,0.8503333333333334,2063,6051,Google LLC
2017-12-14,@sundarpichai,4,0.10075,0.0,0.89925,7298,10442,Google LLC
2017-12-31,@sundarpichai,1,0.241,0.0,0.759,476,5511,Google LLC
2018-01-01,@sundarpichai,1,0.0,0.19,0.81,3009,0,Google LLC
2018-01-05,@sundarpichai,1,0.156,0.0,0.844,630,0,Google LLC
2018-01-09,@sundarpichai,2,0.104,0.1225,0.7735000000000001,574,0,Google LLC
2018-01-10,@sundarpichai,2,0.162,0.0,0.8380000000000001,1486,4754,Google LLC
2018-01-12,@sundarpichai,1,0.177,0.0,0.823,177,884,Google LLC
2018-01-15,@sundarpichai,1,0.591,0.0,0.409,119,1055,Google LLC
2018-01-16,@sundarpichai,1,0.124,0.0,0.876,1342,3805,Google LLC
2018-01-17,@sundarpichai,1,0.11,0.0,0.89,708,2318,Google LLC
2018-01-18,@sundarpichai,1,0.231,0.0,0.769,582,2087,Google LLC
2018-01-22,@sundarpichai,1,0.38,0.0,0.62,752,2555,Google LLC
2018-01-24,@sundarpichai,1,0.114,0.0,0.886,981,4103,Google LLC
2018-01-25,@sundarpichai,1,0.462,0.0,0.538,14,80,Google LLC
2018-01-28,@sundarpichai,1,0.0,0.0,1.0,8925,0,Google LLC
2018-02-04,@sundarpichai,1,0.25,0.0,0.75,154,2185,Google LLC
2018-02-05,@sundarpichai,3,0.171,0.0,0.8290000000000001,8077,4166,Google LLC
2018-02-06,@sundarpichai,1,0.0,0.0,1.0,259,2723,Google LLC
2018-02-09,@sundarpichai,1,0.283,0.0,0.717,941,3005,Google LLC
2018-02-11,@sundarpichai,1,0.0,0.0,1.0,549,0,Google LLC
2018-02-20,@sundarpichai,1,0.0,0.0,1.0,761,2741,Google LLC
2018-03-01,@sundarpichai,1,0.13,0.126,0.744,1343,4131,Google LLC
2018-03-02,@sundarpichai,3,0.08133333333333333,0.07433333333333333,0.8443333333333333,1471,6715,Google LLC
2018-03-05,@sundarpichai,1,0.0,0.0,1.0,441,0,Google LLC
2018-03-06,@reedhastings,1,0.311,0.0,0.689,13,0,"Netflix, Inc."
2018-03-07,@sundarpichai,1,0.2,0.0,0.8,234,0,Google LLC
2018-03-08,@sundarpichai,1,0.314,0.0,0.686,265,1799,Google LLC
2018-03-11,@sundarpichai,2,0.14500000000000002,0.0,0.855,560,2021,Google LLC
2018-03-13,@sundarpichai,1,0.144,0.0,0.856,260,1693,Google LLC
2018-03-14,@sundarpichai,1,0.405,0.121,0.474,8625,33258,Google LLC
2018-03-15,@sundarpichai,1,0.227,0.0,0.773,446,2358,Google LLC
2018-03-21,@sundarpichai,1,0.439,0.0,0.561,219,1658,Google LLC
2018-03-22,@sundarpichai,1,0.312,0.0,0.688,283,1534,Google LLC
2018-03-23,@sundarpichai,1,0.328,0.0,0.672,103,1360,Google LLC
2018-04-01,@reedhastings,1,0.0,0.0,1.0,8,101,"Netflix, Inc."
2018-04-03,@sundarpichai,1,0.196,0.235,0.569,2712,15889,Google LLC
2018-04-04,@sundarpichai,1,0.107,0.16,0.733,143,0,Google LLC
2018-04-07,@reedhastings,1,0.271,0.182,0.548,16,0,"Netflix, Inc."
2018-04-18,@sundarpichai,1,0.386,0.0,0.614,6,244,Google LLC
2018-04-19,@sundarpichai,1,0.0,0.0,1.0,119,0,Google LLC
2018-04-25,@sundarpichai,1,0.166,0.0,0.834,680,4269,Google LLC
2018-04-30,@sundarpichai,1,0.0,0.0,1.0,128,0,Google LLC
2018-05-08,@sundarpichai,16,0.160375,0.0,0.8396250000000001,3900,11420,Google LLC
2018-05-09,@sundarpichai,2,0.49650000000000005,0.0,0.5035000000000001,161,2053,Google LLC
2018-05-12,@sundarpichai,3,0.233,0.0,0.767,1903,11664,Google LLC
2018-05-17,@sundarpichai,1,0.0,0.086,0.914,281,0,Google LLC
2018-05-24,@sundarpichai,2,0.1205,0.0,0.8795,265,310,Google LLC
2018-06-07,@sundarpichai,2,0.1595,0.0,0.8405,8058,27139,Google LLC
2018-06-08,@sundarpichai,2,0.1305,0.0,0.8694999999999999,329,2035,Google LLC
2018-06-09,@sundarpichai,1,0.112,0.0,0.888,146,1320,Google LLC
2018-06-13,@sundarpichai,1,0.118,0.0,0.882,1173,4906,Google LLC
2018-06-19,@sundarpichai,1,0.0,0.0,1.0,1572,8686,Google LLC
2018-06-21,@sundarpichai,1,0.353,0.0,0.647,158,1391,Google LLC
2018-06-22,@sundarpichai,3,0.291,0.0,0.709,1014,11579,Google LLC
2018-06-23,@sundarpichai,2,0.209,0.0335,0.7575000000000001,565,7661,Google LLC
2018-06-25,@sundarpichai,1,0.137,0.0,0.863,544,3168,Google LLC
2018-07-10,@sundarpichai,1,0.388,0.0,0.612,1888,9233,Google LLC
2018-07-15,@sundarpichai,1,0.444,0.0,0.556,842,10508,Google LLC
2018-07-16,@sundarpichai,1,0.0,0.0,1.0,436,2192,Google LLC
2018-07-18,@sundarpichai,1,0.243,0.078,0.68,1549,6265,Google LLC
2018-07-24,@sundarpichai,1,0.0,0.0,1.0,324,1982,Google LLC
2018-07-26,@sundarpichai,1,0.213,0.0,0.787,1146,4691,Google LLC
2018-07-28,@sundarpichai,2,0.3005,0.0,0.6995,551,4772,Google LLC
2018-08-26,@sundarpichai,1,0.356,0.0,0.644,750,7889,Google LLC
